"Participant ID","C1A","C1B","C1C","C1D","C1E","C2A","C2B","C2C","C2D","C2E","C2F","C3A","C3B","C3C","C3D","C3E","C4A","C4B","C4C","C4D","C4E","C4F","C4G","C5A","C5B","C5C","C5D","C5E","C5F","C1 percentage","C2 percentage","C3 percentage","C4 percentage","C5 percentage","Assessed overall","Standardised comparison","Adjustment"
"Participant_555059_assignsubmission_file",75.000000,75.000000,75.000000,0.000000,70.000000,75.000000,70.000000,75.000000,75.000000,70.000000,75.000000,75.000000,65.000000,75.000000,75.000000,75.000000,70.000000,75.000000,75.000000,70.000000,75.000000,70.000000,75.000000,65.000000,75.000000,70.000000,70.000000,75.000000,75.000000,59.000000,73.333333,73.000000,72.857143,71.666667,69.369048,75.168540,5.799492
"Participant_555060_assignsubmission_file",50.000000,0.000000,55.000000,0.000000,65.000000,70.000000,55.000000,55.000000,50.000000,65.000000,65.000000,50.000000,50.000000,65.000000,70.000000,65.000000,65.000000,70.000000,70.000000,70.000000,65.000000,70.000000,75.000000,40.000000,70.000000,50.000000,25.000000,65.000000,55.000000,34.000000,60.000000,60.000000,69.285714,50.833333,53.053571,56.535348,3.481776
"Participant_555062_assignsubmission_file",55.000000,70.000000,70.000000,25.000000,65.000000,75.000000,55.000000,70.000000,70.000000,70.000000,70.000000,70.000000,70.000000,70.000000,65.000000,65.000000,65.000000,70.000000,70.000000,65.000000,70.000000,45.000000,75.000000,75.000000,70.000000,75.000000,65.000000,70.000000,70.000000,57.000000,68.333333,68.000000,65.714286,70.833333,65.529762,70.783859,5.254097
"Participant_555064_assignsubmission_file",80.000000,80.000000,80.000000,0.000000,70.000000,80.000000,80.000000,80.000000,85.000000,75.000000,80.000000,80.000000,55.000000,80.000000,75.000000,75.000000,75.000000,80.000000,80.000000,80.000000,75.000000,70.000000,75.000000,55.000000,80.000000,75.000000,30.000000,80.000000,80.000000,62.000000,80.000000,73.000000,76.428571,66.666667,71.392857,77.479844,6.086987
"Participant_555065_assignsubmission_file",75.000000,75.000000,70.000000,55.000000,70.000000,75.000000,55.000000,75.000000,70.000000,70.000000,70.000000,70.000000,55.000000,70.000000,75.000000,70.000000,70.000000,75.000000,70.000000,75.000000,70.000000,50.000000,75.000000,55.000000,75.000000,70.000000,65.000000,70.000000,70.000000,69.000000,69.166667,68.000000,69.285714,67.500000,68.595238,74.284806,5.689568
"Participant_555066_assignsubmission_file",75.000000,75.000000,75.000000,0.000000,70.000000,75.000000,70.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,70.000000,75.000000,70.000000,75.000000,75.000000,75.000000,70.000000,55.000000,75.000000,65.000000,75.000000,75.000000,45.000000,75.000000,75.000000,59.000000,74.166667,74.000000,70.714286,68.333333,69.113095,74.876228,5.763132
"Participant_555069_assignsubmission_file",50.000000,45.000000,50.000000,25.000000,45.000000,60.000000,45.000000,25.000000,45.000000,50.000000,45.000000,45.000000,45.000000,45.000000,65.000000,45.000000,50.000000,65.000000,60.000000,65.000000,45.000000,45.000000,75.000000,75.000000,65.000000,65.000000,50.000000,60.000000,45.000000,43.000000,45.000000,49.000000,57.857143,60.000000,49.035714,51.946728,2.911014
"Participant_555070_assignsubmission_file",55.000000,65.000000,50.000000,0.000000,50.000000,65.000000,40.000000,45.000000,50.000000,45.000000,45.000000,50.000000,50.000000,45.000000,70.000000,45.000000,65.000000,70.000000,65.000000,65.000000,50.000000,45.000000,65.000000,30.000000,50.000000,35.000000,25.000000,0.000000,40.000000,44.000000,48.333333,52.000000,60.714286,30.000000,46.654762,49.227547,2.572785
"Participant_555071_assignsubmission_file",55.000000,0.000000,55.000000,45.000000,60.000000,65.000000,55.000000,50.000000,55.000000,50.000000,50.000000,50.000000,50.000000,55.000000,55.000000,55.000000,65.000000,65.000000,65.000000,50.000000,55.000000,70.000000,50.000000,55.000000,75.000000,70.000000,30.000000,70.000000,55.000000,43.000000,54.166667,53.000000,60.000000,59.166667,52.416667,55.807966,3.391300
"Participant_555072_assignsubmission_file",75.000000,75.000000,75.000000,60.000000,75.000000,80.000000,85.000000,85.000000,85.000000,80.000000,80.000000,75.000000,55.000000,80.000000,80.000000,80.000000,75.000000,80.000000,75.000000,80.000000,75.000000,75.000000,75.000000,60.000000,80.000000,75.000000,45.000000,85.000000,85.000000,72.000000,82.500000,74.000000,76.428571,71.666667,75.517857,82.190826,6.672969
